customer_id,Account_Age_Days,Daily_Usage_Mins,Support_Tickets_90Days,API_Utilization_Rate,churn_proba,sentiment_score,fused_proba,MRR,Days_To_Renewal,Login_Frequency,Plan_Tier,Dominant_SHAP_Driver,risk_band,discount_pct,Retained
SYN-00017,71,21,2,0.1087,0.72,1.0,0.818,2157.86,96,Rarely,Pro,technical_friction,High,10,0
SYN-00018,911,24,2,0.7479,0.035,0.5,0.1977,1352.68,291,Daily,Pro,technical_friction,Low,15,1
SYN-00019,695,28,4,0.8928,0.315,1.0,0.5548,2136.97,90,Rarely,Pro,technical_friction,High,5,0
SYN-00020,834,14,2,0.2328,0.815,0.0,0.5297,333.38,113,Weekly,Basic,price_sensitive,High,0,0
SYN-00021,391,84,0,0.641,0.01,1.0,0.3565,2161.68,298,Daily,Pro,price_sensitive,Medium,15,1
SYN-00022,1068,5,0,0.4443,0.29,0.0,0.1885,280.75,337,Daily,Basic,price_sensitive,Low,5,1
SYN-00023,983,40,2,0.5341,0.055,0.0,0.0358,1569.35,325,Daily,Pro,technical_friction,Low,10,1
SYN-00024,856,18,4,0.7835,0.14,0.0,0.091,396.97,101,Weekly,Basic,technical_friction,Low,0,0
SYN-00025,215,16,5,0.6618,0.42,0.0,0.273,655.31,356,Rarely,Basic,technical_friction,Medium,10,1
SYN-00026,514,76,4,0.1161,0.46,1.0,0.649,1467.83,243,Weekly,Pro,technical_friction,High,10,0
SYN-00027,49,23,2,0.6274,0.065,1.0,0.3922,2324.55,88,Weekly,Pro,technical_friction,Medium,20,1
SYN-00028,171,40,3,0.5158,0.15,1.0,0.4475,1783.5,291,Weekly,Pro,price_sensitive,Medium,15,0
SYN-00029,752,56,0,0.7264,0.0,0.0,0.0,724.5,69,Daily,Basic,technical_friction,Low,5,1
SYN-00030,819,30,6,0.3062,0.665,0.0,0.4322,1171.91,163,Rarely,Pro,technical_friction,Medium,10,1
SYN-00031,1064,77,4,0.3098,0.25,1.0,0.5125,316.09,161,Weekly,Basic,price_sensitive,High,5,0
SYN-00032,359,7,0,0.8288,0.34,0.0,0.221,465.52,40,Weekly,Basic,technical_friction,Low,20,1
SYN-00033,408,42,1,0.4194,0.16,0.0,0.104,7445.17,290,Weekly,Enterprise,price_sensitive,Low,20,1
SYN-00034,517,113,1,0.2352,0.365,1.0,0.5872,8450.7,175,Weekly,Enterprise,technical_friction,High,20,0
SYN-00035,209,39,0,0.2117,0.335,1.0,0.5678,455.7,200,Daily,Basic,technical_friction,High,0,0
SYN-00036,144,4,4,0.2457,0.71,0.0,0.4615,1002.04,212,Daily,Pro,price_sensitive,High,0,1
SYN-00037,524,43,6,0.782,0.29,1.0,0.5385,2414.44,308,Rarely,Pro,technical_friction,High,15,1
SYN-00038,250,87,1,0.7539,0.005,1.0,0.3532,899.53,313,Weekly,Pro,technical_friction,Medium,5,0
SYN-00039,737,21,1,0.5703,0.075,1.0,0.3988,781.15,218,Weekly,Basic,technical_friction,Medium,0,0
SYN-00040,481,21,3,0.3942,0.24,0.0,0.156,390.2,124,Weekly,Basic,price_sensitive,Low,10,1
SYN-00041,916,52,1,0.279,0.42,0.0,0.273,6740.49,297,Weekly,Enterprise,technical_friction,Medium,15,1
SYN-00042,771,45,3,0.1533,0.75,0.0,0.4875,267.33,25,Rarely,Basic,technical_friction,High,0,1
SYN-00043,344,31,3,0.7371,0.09,0.0,0.0585,592.37,51,Daily,Basic,technical_friction,Low,5,1
SYN-00044,916,15,2,0.4464,0.15,0.0,0.0975,215.29,305,Daily,Basic,price_sensitive,Low,0,0
SYN-00045,885,19,3,0.9167,0.235,0.0,0.1528,8761.21,301,Rarely,Enterprise,technical_friction,Low,10,1
SYN-00046,427,11,4,0.8551,0.425,1.0,0.6262,461.63,180,Daily,Basic,technical_friction,High,0,1
SYN-00047,318,3,2,0.8009,0.435,1.0,0.6327,10836.43,3,Weekly,Enterprise,technical_friction,High,20,1
SYN-00048,751,71,2,0.7777,0.015,0.0,0.0098,307.46,44,Weekly,Basic,technical_friction,Low,5,1
SYN-00049,155,54,7,0.6774,0.05,1.0,0.3825,566.91,214,Weekly,Basic,technical_friction,Medium,0,1
SYN-00050,221,50,1,0.6623,0.005,0.0,0.0032,12513.73,129,Daily,Enterprise,technical_friction,Low,15,1
SYN-00051,9,49,2,0.6763,0.05,1.0,0.3825,1963.45,245,Weekly,Pro,technical_friction,Medium,10,1
SYN-00052,866,25,4,0.0775,0.825,1.0,0.8862,14809.61,212,Daily,Enterprise,technical_friction,High,20,0
SYN-00053,732,22,4,0.6262,0.19,1.0,0.4735,1379.18,97,Weekly,Pro,technical_friction,High,5,1
SYN-00054,776,8,2,0.4491,0.495,1.0,0.6718,12241.05,205,Daily,Enterprise,price_sensitive,High,15,0
SYN-00055,859,57,1,0.457,0.18,0.0,0.117,1980.91,255,Weekly,Pro,price_sensitive,Low,5,1
SYN-00056,505,119,2,0.5927,0.13,1.0,0.4345,1402.37,194,Weekly,Pro,price_sensitive,Medium,10,1
SYN-00057,626,41,3,0.3605,0.63,1.0,0.7595,410.94,17,Rarely,Basic,price_sensitive,High,5,0
SYN-00058,155,63,4,0.7547,0.06,0.0,0.039,761.4,309,Weekly,Basic,technical_friction,Low,10,1
SYN-00059,127,64,0,0.6557,0.125,0.0,0.0812,6583.77,170,Rarely,Enterprise,technical_friction,Low,10,1
SYN-00060,736,91,3,0.8029,0.045,0.0,0.0292,417.74,238,Weekly,Basic,technical_friction,Low,5,1
SYN-00061,519,13,8,0.5723,0.615,1.0,0.7497,2812.87,45,Rarely,Pro,technical_friction,High,10,0
SYN-00062,622,6,1,0.827,0.48,0.5,0.487,382.39,121,Weekly,Basic,technical_friction,High,10,0
SYN-00063,842,35,3,0.7997,0.005,1.0,0.3532,854.09,253,Daily,Pro,technical_friction,Medium,15,1
SYN-00064,699,27,5,0.3835,0.095,1.0,0.4118,305.58,19,Daily,Basic,price_sensitive,Medium,0,1
SYN-00065,609,119,7,0.868,0.05,0.0,0.0325,654.5,256,Daily,Basic,technical_friction,Low,0,1
SYN-00066,616,11,4,0.4516,0.685,1.0,0.7952,3787.52,59,Weekly,Enterprise,price_sensitive,High,0,0
SYN-00067,335,111,4,0.3377,0.37,0.0,0.2405,632.66,364,Daily,Basic,price_sensitive,Medium,10,1
SYN-00068,35,27,3,0.7753,0.275,0.0,0.1788,671.73,264,Daily,Basic,technical_friction,Low,10,1
SYN-00069,481,10,0,0.4096,0.91,0.0,0.5915,2368.74,187,Weekly,Pro,price_sensitive,High,15,0
SYN-00070,237,97,4,0.225,0.665,1.0,0.7822,382.95,223,Rarely,Basic,price_sensitive,High,5,1
SYN-00071,450,13,1,0.5942,0.385,1.0,0.6002,516.96,103,Daily,Basic,price_sensitive,High,10,1
SYN-00072,939,64,3,0.8319,0.035,1.0,0.3727,8299.73,52,Weekly,Enterprise,technical_friction,Medium,5,1
SYN-00073,258,36,2,0.2317,0.69,0.0,0.4485,2756.17,328,Rarely,Pro,technical_friction,Medium,5,0
SYN-00074,65,111,2,0.602,0.07,0.0,0.0455,764.4,165,Weekly,Basic,price_sensitive,Low,5,1
SYN-00075,310,74,1,0.5793,0.005,0.0,0.0032,769.23,335,Daily,Basic,technical_friction,Low,5,1
SYN-00076,324,26,2,0.4189,0.555,0.0,0.3608,2822.07,11,Rarely,Pro,price_sensitive,Medium,10,1
SYN-00077,728,97,5,0.6498,0.025,0.0,0.0162,666.68,309,Daily,Basic,price_sensitive,Low,5,1
SYN-00078,613,46,2,0.4258,0.05,0.0,0.0325,614.83,258,Daily,Basic,price_sensitive,Low,5,1
SYN-00079,863,32,3,0.6233,0.04,1.0,0.376,358.72,129,Weekly,Basic,technical_friction,Medium,0,0
SYN-00080,731,35,2,0.4771,0.045,1.0,0.3792,1258.23,31,Daily,Pro,price_sensitive,Medium,5,0
SYN-00081,448,66,4,0.245,0.2,1.0,0.48,933.56,182,Daily,Pro,price_sensitive,High,15,1
SYN-00082,896,25,3,0.5584,0.255,1.0,0.5157,1480.2,273,Rarely,Pro,price_sensitive,High,15,1
SYN-00083,185,19,1,0.8277,0.19,0.0,0.1235,388.75,28,Daily,Basic,technical_friction,Low,0,1
SYN-00084,26,15,1,0.7002,0.075,0.0,0.0488,968.27,90,Weekly,Pro,technical_friction,Low,10,0
SYN-00085,100,41,2,0.3425,0.31,0.0,0.2015,269.96,264,Weekly,Basic,price_sensitive,Low,0,1
SYN-00086,795,16,3,0.5875,0.33,0.0,0.2145,737.53,128,Rarely,Basic,price_sensitive,Low,15,1
SYN-00087,509,66,0,0.4444,0.085,0.0,0.0553,687.93,129,Weekly,Basic,price_sensitive,Low,0,1
SYN-00088,178,25,3,0.4052,0.28,1.0,0.532,1558.75,163,Daily,Pro,price_sensitive,High,20,1
SYN-00089,552,48,3,0.6219,0.04,0.0,0.026,704.98,139,Daily,Basic,price_sensitive,Low,10,1
SYN-00090,168,77,4,0.6635,0.255,0.0,0.1658,9880.42,296,Rarely,Enterprise,price_sensitive,Low,10,1
SYN-00091,766,93,5,0.1183,0.355,1.0,0.5808,462.46,318,Weekly,Basic,technical_friction,High,5,1
SYN-00092,491,38,3,0.74,0.315,0.0,0.2048,440.41,245,Rarely,Basic,technical_friction,Low,0,1
SYN-00093,420,3,2,0.3953,0.645,0.0,0.4192,2794.86,56,Daily,Pro,price_sensitive,Medium,5,1
SYN-00094,332,3,3,0.681,0.725,0.0,0.4712,1729.72,86,Weekly,Pro,price_sensitive,High,5,0
SYN-00095,694,65,2,0.6319,0.05,0.0,0.0325,2950.84,164,Daily,Pro,price_sensitive,Low,5,1
SYN-00096,399,12,1,0.1326,0.955,1.0,0.9708,1415.04,203,Weekly,Pro,technical_friction,High,20,0
SYN-00097,97,24,2,0.7421,0.08,0.0,0.052,13260.17,237,Daily,Enterprise,technical_friction,Low,0,1
SYN-00098,131,72,4,0.2379,0.13,0.0,0.0845,9377.7,261,Daily,Enterprise,price_sensitive,Low,20,1
SYN-00099,1058,20,2,0.8887,0.195,0.0,0.1268,1838.29,115,Rarely,Pro,technical_friction,Low,20,1
SYN-00100,1000,8,2,0.7775,0.23,0.0,0.1495,309.33,296,Daily,Basic,price_sensitive,Low,15,1
SYN-00101,770,24,3,0.4149,0.355,0.5,0.4057,9493.44,282,Weekly,Enterprise,price_sensitive,Medium,20,1
SYN-00102,293,56,0,0.5052,0.345,1.0,0.5742,220.66,364,Rarely,Basic,price_sensitive,High,0,0
SYN-00103,1066,19,5,0.7809,0.075,1.0,0.3988,11326.0,130,Daily,Enterprise,technical_friction,Medium,10,1
SYN-00104,857,50,3,0.1656,0.53,1.0,0.6945,305.39,151,Daily,Basic,technical_friction,High,0,0
SYN-00105,789,9,4,0.0819,0.92,0.0,0.598,2353.16,18,Daily,Pro,technical_friction,High,15,1
SYN-00106,495,15,1,0.4629,0.335,0.5,0.3928,365.74,18,Weekly,Basic,technical_friction,Medium,0,0
SYN-00107,300,25,3,0.1239,0.77,0.0,0.5005,485.61,41,Weekly,Basic,technical_friction,High,20,1
SYN-00108,107,79,3,0.8129,0.045,1.0,0.3792,458.98,122,Weekly,Basic,technical_friction,Medium,10,1
SYN-00109,993,22,0,0.3772,0.265,1.0,0.5222,8149.21,224,Weekly,Enterprise,price_sensitive,High,20,1
SYN-00110,502,19,6,0.0947,0.8,0.0,0.52,1539.02,233,Daily,Pro,technical_friction,High,15,1
SYN-00111,223,19,1,0.2946,0.275,1.0,0.5288,2460.73,124,Daily,Pro,technical_friction,High,15,0
SYN-00112,337,50,0,0.5261,0.065,0.0,0.0422,561.69,291,Weekly,Basic,technical_friction,Low,5,1
SYN-00113,638,60,0,0.4287,0.445,0.0,0.2892,1257.5,144,Rarely,Pro,price_sensitive,Medium,15,1
SYN-00114,195,77,2,0.5883,0.005,0.0,0.0032,12425.49,73,Daily,Enterprise,price_sensitive,Low,15,1
SYN-00115,942,119,2,0.4939,0.18,1.0,0.467,6761.78,248,Weekly,Enterprise,price_sensitive,High,15,1
SYN-00116,835,41,3,0.7548,0.025,0.5,0.1912,598.66,7,Daily,Basic,technical_friction,Low,0,0
SYN-00117,792,17,3,0.7912,0.045,1.0,0.3792,212.94,6,Weekly,Basic,technical_friction,Medium,0,0
SYN-00118,476,28,1,0.2421,0.345,0.0,0.2242,551.76,208,Daily,Basic,technical_friction,Low,15,1
SYN-00119,690,13,2,0.1659,0.735,0.0,0.4778,550.7,24,Daily,Basic,technical_friction,High,15,1
SYN-00120,643,35,2,0.3295,0.165,0.0,0.1073,5776.17,35,Daily,Enterprise,price_sensitive,Low,15,1
SYN-00121,715,15,1,0.831,0.035,0.0,0.0228,318.05,14,Daily,Basic,technical_friction,Low,15,1
SYN-00122,94,77,0,0.4935,0.085,0.0,0.0553,12760.85,3,Weekly,Enterprise,price_sensitive,Low,5,1
SYN-00123,458,39,3,0.6891,0.03,0.0,0.0195,1343.45,89,Daily,Pro,technical_friction,Low,0,1
SYN-00124,47,95,1,0.4116,0.225,1.0,0.4962,233.81,311,Daily,Basic,price_sensitive,High,20,0
SYN-00125,544,59,0,0.5737,0.04,1.0,0.376,709.9,320,Weekly,Basic,technical_friction,Medium,5,1
SYN-00126,364,55,3,0.4455,0.13,0.0,0.0845,474.48,80,Daily,Basic,price_sensitive,Low,0,1
SYN-00127,160,8,1,0.7439,0.66,0.0,0.429,285.65,198,Weekly,Basic,price_sensitive,Medium,0,0
SYN-00128,115,50,2,0.4693,0.185,1.0,0.4702,544.34,225,Daily,Basic,price_sensitive,High,0,1
SYN-00129,647,119,3,0.3288,0.4,1.0,0.61,2827.37,72,Weekly,Pro,technical_friction,High,20,1
SYN-00130,188,22,5,0.1478,0.61,1.0,0.7465,2116.27,158,Daily,Pro,technical_friction,High,20,1
SYN-00131,1018,68,2,0.4436,0.135,1.0,0.4378,6375.43,207,Daily,Enterprise,price_sensitive,Medium,20,1
SYN-00132,640,6,2,0.1539,0.85,1.0,0.9025,2884.13,365,Daily,Pro,technical_friction,High,15,0
SYN-00133,382,11,2,0.5689,0.375,0.0,0.2438,3228.79,127,Daily,Enterprise,price_sensitive,Medium,10,1
SYN-00134,650,29,1,0.2601,0.755,1.0,0.8408,489.43,220,Rarely,Basic,technical_friction,High,10,0
SYN-00135,26,19,3,0.6622,0.265,0.0,0.1723,502.74,128,Daily,Basic,price_sensitive,Low,5,1
SYN-00136,1054,15,3,0.9372,0.04,1.0,0.376,317.41,215,Daily,Basic,technical_friction,Medium,5,1
SYN-00137,531,19,3,0.4425,0.17,0.5,0.2855,665.36,263,Daily,Basic,price_sensitive,Medium,10,1
SYN-00138,861,46,3,0.2255,0.37,0.0,0.2405,795.52,134,Daily,Basic,technical_friction,Medium,10,1
SYN-00139,92,69,4,0.2329,0.095,1.0,0.4118,2635.74,32,Daily,Pro,price_sensitive,Medium,5,0
SYN-00140,536,49,4,0.4689,0.655,0.0,0.4258,752.33,131,Rarely,Basic,price_sensitive,Medium,0,0
SYN-00141,540,51,4,0.6683,0.025,0.0,0.0162,11604.22,284,Daily,Enterprise,technical_friction,Low,15,1
SYN-00142,1032,31,0,0.6419,0.03,0.0,0.0195,1788.38,199,Weekly,Pro,technical_friction,Low,0,1
SYN-00143,629,11,1,0.0696,0.885,0.0,0.5752,1759.86,331,Daily,Pro,technical_friction,High,15,1
SYN-00144,521,29,2,0.1516,0.67,1.0,0.7855,1662.2,284,Daily,Pro,technical_friction,High,15,0
SYN-00145,294,36,4,0.0732,0.76,0.0,0.494,2334.02,2,Weekly,Pro,technical_friction,High,20,0
SYN-00146,365,71,3,0.5403,0.24,1.0,0.506,2382.02,14,Weekly,Pro,price_sensitive,High,5,0
SYN-00147,573,105,5,0.3702,0.67,0.0,0.4355,750.96,84,Rarely,Basic,price_sensitive,Medium,5,1
SYN-00148,483,43,3,0.3577,0.47,0.0,0.3055,2978.35,99,Weekly,Pro,technical_friction,Medium,10,0
SYN-00149,25,66,2,0.6751,0.065,0.0,0.0422,1847.27,310,Daily,Pro,price_sensitive,Low,0,1
SYN-00150,909,2,0,0.2043,0.565,1.0,0.7172,329.07,327,Daily,Basic,technical_friction,High,5,0
SYN-00151,986,24,3,0.609,0.065,1.0,0.3922,2054.45,329,Daily,Pro,technical_friction,Medium,5,1
SYN-00152,155,30,3,0.1493,0.72,0.0,0.468,1910.34,249,Rarely,Pro,technical_friction,High,20,1
SYN-00153,610,48,1,0.7466,0.13,1.0,0.4345,4941.3,105,Rarely,Enterprise,technical_friction,Medium,15,1
SYN-00154,120,107,0,0.541,0.03,0.0,0.0195,357.19,147,Daily,Basic,technical_friction,Low,0,1
SYN-00155,740,41,3,0.4133,0.275,0.0,0.1788,9847.77,178,Daily,Enterprise,price_sensitive,Low,5,1
SYN-00156,310,5,0,0.3765,0.905,0.0,0.5883,8223.29,79,Weekly,Enterprise,price_sensitive,High,10,1
SYN-00157,726,52,3,0.3345,0.355,1.0,0.5808,5158.46,121,Weekly,Enterprise,technical_friction,High,20,0
SYN-00158,800,23,1,0.4154,0.195,0.0,0.1268,249.75,10,Weekly,Basic,price_sensitive,Low,0,1
SYN-00159,846,48,3,0.4913,0.13,0.0,0.0845,564.28,63,Daily,Basic,price_sensitive,Low,15,1
SYN-00160,119,55,2,0.7017,0.065,0.0,0.0422,255.39,16,Daily,Basic,price_sensitive,Low,0,1
SYN-00161,1008,5,1,0.2559,0.845,0.0,0.5492,14959.08,126,Weekly,Enterprise,technical_friction,High,20,1
SYN-00162,254,29,1,0.1792,0.4,1.0,0.61,788.48,61,Daily,Basic,technical_friction,High,0,0
SYN-00163,42,30,3,0.3785,0.22,0.0,0.143,249.5,345,Weekly,Basic,price_sensitive,Low,5,1
SYN-00164,611,41,4,0.3578,0.54,0.0,0.351,503.43,17,Weekly,Basic,technical_friction,Medium,5,1
SYN-00165,409,16,3,0.2922,0.625,0.0,0.4062,680.74,145,Daily,Basic,technical_friction,Medium,20,0
SYN-00166,913,12,1,0.1705,0.965,1.0,0.9772,1260.24,160,Rarely,Pro,technical_friction,High,20,0
SYN-00167,889,106,5,0.7305,0.25,1.0,0.5125,1994.93,107,Rarely,Pro,technical_friction,High,10,0
SYN-00168,350,37,1,0.6718,0.01,0.0,0.0065,2181.05,34,Weekly,Pro,technical_friction,Low,15,1
SYN-00169,1048,14,3,0.136,0.905,1.0,0.9382,757.55,251,Weekly,Basic,price_sensitive,High,20,0
SYN-00170,321,20,1,0.2325,0.27,1.0,0.5255,2203.69,308,Daily,Pro,technical_friction,High,5,1
SYN-00171,567,109,2,0.8386,0.01,0.0,0.0065,2988.1,341,Weekly,Pro,technical_friction,Low,20,1
SYN-00172,282,81,4,0.6374,0.31,1.0,0.5515,14489.2,6,Rarely,Enterprise,price_sensitive,High,20,0
SYN-00173,1030,18,0,0.3552,0.505,0.0,0.3283,393.62,269,Rarely,Basic,price_sensitive,Medium,10,1
SYN-00174,182,11,1,0.6539,0.465,1.0,0.6522,512.87,65,Daily,Basic,price_sensitive,High,20,0
SYN-00175,50,12,2,0.3566,0.765,1.0,0.8472,13969.35,276,Daily,Enterprise,price_sensitive,High,20,1
SYN-00176,479,75,4,0.7527,0.005,0.0,0.0032,334.37,96,Daily,Basic,technical_friction,Low,15,1
SYN-00177,1092,21,5,0.4349,0.185,1.0,0.4702,10280.74,337,Daily,Enterprise,price_sensitive,High,15,1
SYN-00178,981,7,1,0.5352,0.595,0.0,0.3868,349.72,116,Weekly,Basic,price_sensitive,Medium,10,1
SYN-00179,824,20,1,0.3423,0.365,0.0,0.2372,604.36,113,Daily,Basic,technical_friction,Medium,5,0
SYN-00180,980,40,1,0.492,0.405,1.0,0.6133,337.62,79,Rarely,Basic,price_sensitive,High,10,1
SYN-00181,983,29,3,0.6271,0.03,0.0,0.0195,8304.4,325,Daily,Enterprise,price_sensitive,Low,20,1
SYN-00182,571,82,2,0.4434,0.175,0.0,0.1138,709.13,346,Weekly,Basic,price_sensitive,Low,10,1
SYN-00183,348,41,3,0.5061,0.21,0.0,0.1365,13388.47,162,Weekly,Enterprise,price_sensitive,Low,15,1
SYN-00184,849,45,4,0.4036,0.445,0.0,0.2892,7719.6,325,Daily,Enterprise,technical_friction,Medium,20,1
SYN-00185,728,63,0,0.3962,0.495,0.0,0.3218,474.73,294,Rarely,Basic,price_sensitive,Medium,0,0
SYN-00186,412,60,1,0.1706,0.56,0.5,0.539,633.23,360,Weekly,Basic,technical_friction,High,15,0
SYN-00187,105,20,3,0.1212,0.615,1.0,0.7497,649.96,254,Daily,Basic,technical_friction,High,0,0
SYN-00188,822,11,2,0.5236,0.69,0.0,0.4485,2630.55,205,Rarely,Pro,price_sensitive,Medium,0,1
SYN-00189,289,38,2,0.6218,0.53,1.0,0.6945,624.29,71,Rarely,Basic,price_sensitive,High,10,0
SYN-00190,1031,34,3,0.1188,0.61,1.0,0.7465,1611.91,233,Daily,Pro,technical_friction,High,10,1
SYN-00191,266,41,2,0.6102,0.255,1.0,0.5157,13227.22,307,Rarely,Enterprise,price_sensitive,High,20,0
SYN-00192,136,44,3,0.3317,0.19,1.0,0.4735,2166.27,317,Daily,Pro,price_sensitive,High,20,0
SYN-00193,914,100,2,0.0722,0.44,0.0,0.286,2673.15,216,Weekly,Pro,technical_friction,Medium,20,1
SYN-00194,169,25,2,0.799,0.195,0.0,0.1268,11879.12,112,Rarely,Enterprise,technical_friction,Low,20,1
SYN-00195,198,45,1,0.0829,0.88,1.0,0.922,503.15,258,Rarely,Basic,technical_friction,High,15,0
SYN-00196,660,11,2,0.877,0.365,0.0,0.2372,785.56,262,Weekly,Basic,technical_friction,Medium,5,1
SYN-00197,962,15,2,0.6456,0.17,1.0,0.4605,5000.23,231,Weekly,Enterprise,technical_friction,High,5,0
SYN-00198,217,32,1,0.5953,0.0,0.0,0.0,580.85,41,Weekly,Basic,technical_friction,Low,15,1
SYN-00199,342,13,3,0.5603,0.9,1.0,0.935,401.44,241,Weekly,Basic,price_sensitive,High,15,0
SYN-00200,855,52,4,0.7025,0.01,1.0,0.3565,583.94,186,Daily,Basic,technical_friction,Medium,5,1
SYN-00201,1069,47,0,0.2009,0.34,0.0,0.221,13991.49,228,Weekly,Enterprise,technical_friction,Low,15,1
SYN-00202,551,18,4,0.2779,0.405,0.0,0.2633,2951.13,341,Weekly,Pro,technical_friction,Medium,5,1
SYN-00203,159,27,1,0.9645,0.02,0.0,0.013,273.99,341,Weekly,Basic,technical_friction,Low,15,1
SYN-00204,16,76,5,0.7102,0.135,0.0,0.0878,395.48,319,Weekly,Basic,technical_friction,Low,10,1
SYN-00205,253,38,3,0.6244,0.265,0.0,0.1723,1124.01,93,Daily,Pro,price_sensitive,Low,10,1
SYN-00206,146,119,5,0.6103,0.155,0.0,0.1008,643.11,16,Weekly,Basic,technical_friction,Low,5,1
SYN-00207,746,27,0,0.0768,0.715,0.0,0.4648,782.51,91,Rarely,Basic,technical_friction,High,5,1
SYN-00208,135,29,1,0.6611,0.155,0.0,0.1008,766.57,32,Daily,Basic,technical_friction,Low,0,1
SYN-00209,557,32,0,0.8029,0.04,0.0,0.026,11054.09,247,Weekly,Enterprise,technical_friction,Low,15,1
SYN-00210,764,6,4,0.777,0.56,0.0,0.364,14485.53,70,Rarely,Enterprise,price_sensitive,Medium,20,1
SYN-00211,640,28,3,0.3994,0.285,1.0,0.5352,2299.75,331,Daily,Pro,price_sensitive,High,0,1
SYN-00212,221,27,6,0.5711,0.23,0.5,0.3245,769.47,197,Weekly,Basic,technical_friction,Medium,10,1
SYN-00213,885,56,3,0.4538,0.08,0.0,0.052,2446.66,315,Weekly,Pro,price_sensitive,Low,5,1
SYN-00214,787,78,3,0.2754,0.245,1.0,0.5092,5961.55,119,Weekly,Enterprise,price_sensitive,High,20,1
SYN-00215,813,25,6,0.192,0.675,1.0,0.7888,1846.2,13,Daily,Pro,technical_friction,High,20,0
SYN-00216,145,3,1,0.7608,0.675,1.0,0.7888,1955.64,279,Weekly,Pro,price_sensitive,High,5,1
SYN-00217,137,36,3,0.1693,0.59,0.0,0.3835,1009.31,82,Weekly,Pro,technical_friction,Medium,5,1
SYN-00218,1020,13,3,0.2681,0.92,0.0,0.598,518.19,82,Weekly,Basic,price_sensitive,High,5,0
SYN-00219,438,39,4,0.5827,0.015,0.0,0.0098,7394.81,208,Daily,Enterprise,technical_friction,Low,5,1
SYN-00220,332,38,7,0.3972,0.315,0.0,0.2048,834.66,41,Weekly,Pro,price_sensitive,Low,5,1
SYN-00221,538,17,1,0.7591,0.025,0.0,0.0162,736.23,58,Weekly,Basic,technical_friction,Low,0,1
SYN-00222,729,37,4,0.5592,0.45,0.0,0.2925,434.18,128,Rarely,Basic,price_sensitive,Medium,0,0
SYN-00223,1051,7,6,0.5205,0.81,0.0,0.5265,2008.29,85,Weekly,Pro,price_sensitive,High,15,1
SYN-00224,316,41,1,0.497,0.085,0.0,0.0553,551.77,293,Weekly,Basic,price_sensitive,Low,5,1
SYN-00225,1017,60,2,0.5797,0.06,0.0,0.039,969.3,32,Weekly,Pro,price_sensitive,Low,10,1
SYN-00226,28,48,8,0.3859,0.335,0.0,0.2178,1692.6,307,Weekly,Pro,price_sensitive,Low,0,1
SYN-00227,611,20,4,0.0883,0.875,1.0,0.9188,2554.98,337,Daily,Pro,technical_friction,High,20,0
SYN-00228,698,57,3,0.1953,0.48,0.0,0.312,680.36,310,Daily,Basic,technical_friction,Medium,10,1
SYN-00229,117,52,1,0.2315,0.685,0.0,0.4452,11564.57,337,Rarely,Enterprise,technical_friction,Medium,15,1
