customer_id,Account_Age_Days,Daily_Usage_Mins,Support_Tickets_90Days,API_Utilization_Rate,churn_proba,sentiment_score,fused_proba,Login_Frequency,Plan_Tier,Dominant_SHAP_Driver,risk_band,discount_pct,discount_months,Retained
CUST-000021,668,17,0,0.716,0.623,0.421,0.577,Rarely,Enterprise,price_sensitive,Medium,20,3,0
CUST-000022,936,84,1,0.306,0.14,0.278,0.125,Daily,Basic,price_sensitive,Low,10,12,1
CUST-000023,1056,44,7,0.853,0.542,0.745,0.625,Daily,Pro,price_sensitive,Medium,20,12,0
CUST-000024,80,32,4,0.553,0.852,0.683,0.846,Rarely,Basic,price_sensitive,High,0,0,0
CUST-000025,599,24,4,0.899,0.5,0.463,0.467,Daily,Basic,price_sensitive,Medium,20,3,1
CUST-000026,956,23,3,0.349,0.843,0.682,0.841,Rarely,Pro,technical_friction,High,20,12,1
CUST-000027,265,14,4,0.17,0.911,0.779,0.892,Rarely,Basic,price_sensitive,High,15,3,1
CUST-000028,606,38,3,0.74,0.239,0.563,0.259,Daily,Pro,technical_friction,Low,0,0,0
CUST-000029,718,37,4,0.443,0.566,0.674,0.622,Weekly,Basic,technical_friction,Medium,0,0,0
CUST-000030,999,15,1,0.189,0.596,0.573,0.611,Weekly,Enterprise,price_sensitive,Medium,20,12,0
CUST-000031,1000,43,2,0.317,0.409,0.663,0.456,Weekly,Enterprise,price_sensitive,Medium,0,0,0
CUST-000032,972,16,1,0.2,0.9,0.494,0.831,Rarely,Pro,price_sensitive,High,10,6,0
CUST-000033,809,31,3,0.405,0.866,0.535,0.82,Rarely,Basic,price_sensitive,High,5,3,1
CUST-000034,1050,61,5,0.711,0.266,0.474,0.252,Daily,Pro,price_sensitive,Low,0,0,0
CUST-000035,838,26,3,0.603,0.477,0.442,0.434,Weekly,Basic,technical_friction,Medium,0,0,1
CUST-000036,955,38,1,0.687,0.118,0.38,0.134,Weekly,Pro,technical_friction,Low,10,12,1
CUST-000037,76,10,2,0.594,0.867,0.444,0.797,Rarely,Basic,technical_friction,High,20,12,1
CUST-000038,782,59,2,0.752,0.179,0.336,0.157,Daily,Basic,technical_friction,Low,5,6,1
CUST-000039,496,15,3,0.275,0.953,0.796,0.91,Rarely,Pro,price_sensitive,High,20,12,0
CUST-000040,297,27,4,0.881,0.633,0.773,0.719,Daily,Enterprise,technical_friction,High,20,12,1
CUST-000041,137,75,2,0.394,0.244,0.55,0.258,Daily,Basic,technical_friction,Low,15,3,1
CUST-000042,350,31,0,0.239,0.764,0.297,0.667,Rarely,Enterprise,price_sensitive,Medium,5,6,0
CUST-000043,130,28,3,0.795,0.457,0.351,0.378,Weekly,Basic,technical_friction,Medium,5,6,1
CUST-000044,337,12,2,0.926,0.309,0.342,0.244,Weekly,Enterprise,price_sensitive,Low,0,0,1
CUST-000045,653,48,1,0.568,0.193,0.181,0.132,Weekly,Basic,technical_friction,Low,20,12,1
CUST-000046,357,54,4,0.456,0.63,0.639,0.669,Weekly,Pro,price_sensitive,Medium,0,0,1
CUST-000047,939,8,1,0.496,0.792,0.454,0.745,Rarely,Basic,technical_friction,High,15,6,1
CUST-000048,70,14,2,0.83,0.809,0.773,0.842,Rarely,Pro,technical_friction,High,20,6,0
CUST-000049,66,24,0,0.431,0.481,0.432,0.435,Weekly,Enterprise,technical_friction,Medium,0,0,1
CUST-000050,157,82,5,0.414,0.618,0.86,0.736,Daily,Pro,technical_friction,High,20,6,1
CUST-000051,351,32,1,0.664,0.309,0.507,0.298,Weekly,Pro,price_sensitive,Low,20,12,1
CUST-000052,99,39,0,0.482,0.381,0.405,0.326,Daily,Enterprise,price_sensitive,Medium,20,3,0
CUST-000053,979,75,0,0.669,0.043,0.269,0.086,Daily,Pro,technical_friction,Low,10,6,1
CUST-000054,248,47,3,0.129,0.953,0.73,0.9,Rarely,Basic,technical_friction,High,20,3,0
CUST-000055,575,24,1,0.555,0.358,0.192,0.235,Weekly,Pro,technical_friction,Low,0,0,1
CUST-000056,109,7,3,0.676,0.917,0.745,0.889,Rarely,Basic,price_sensitive,High,20,3,1
CUST-000057,536,13,4,0.187,0.923,0.759,0.894,Rarely,Enterprise,price_sensitive,High,20,6,0
CUST-000058,92,32,1,0.103,0.749,0.471,0.715,Weekly,Pro,technical_friction,High,20,3,0
CUST-000059,938,7,2,0.573,0.857,0.57,0.823,Rarely,Pro,technical_friction,High,10,6,0
CUST-000060,307,32,3,0.441,0.65,0.645,0.689,Daily,Pro,price_sensitive,Medium,10,6,0
CUST-000061,976,16,2,0.863,0.26,0.419,0.23,Weekly,Basic,price_sensitive,Low,0,0,1
CUST-000062,1059,40,3,0.238,0.432,0.574,0.443,Weekly,Pro,technical_friction,Medium,15,6,1
CUST-000063,103,59,1,0.646,0.19,0.313,0.158,Daily,Basic,technical_friction,Low,10,6,1
CUST-000064,830,21,3,0.293,0.647,0.555,0.653,Weekly,Pro,technical_friction,Medium,20,6,0
CUST-000065,699,10,3,0.359,0.768,0.734,0.808,Weekly,Pro,price_sensitive,High,20,6,0
CUST-000066,968,12,1,0.578,0.776,0.505,0.748,Rarely,Basic,technical_friction,High,10,3,0
CUST-000067,553,19,4,0.375,0.811,0.716,0.83,Weekly,Pro,price_sensitive,High,20,12,0
CUST-000068,76,26,1,0.207,1.0,0.539,0.889,Rarely,Pro,technical_friction,High,20,12,0
CUST-000069,1069,34,0,0.518,0.224,0.0,0.114,Weekly,Pro,price_sensitive,Low,10,6,1
CUST-000070,179,25,0,0.282,0.921,0.537,0.851,Rarely,Pro,technical_friction,High,0,0,0
CUST-000071,50,62,3,0.455,0.547,0.389,0.485,Daily,Enterprise,technical_friction,Medium,0,0,1
CUST-000072,451,46,3,0.697,0.441,0.623,0.472,Weekly,Pro,price_sensitive,Medium,5,6,1
CUST-000073,896,20,1,0.655,0.787,0.474,0.748,Rarely,Enterprise,technical_friction,High,10,3,0
CUST-000074,761,36,3,0.605,0.385,0.381,0.321,Daily,Basic,technical_friction,Medium,15,6,1
CUST-000075,450,45,6,0.724,0.63,0.609,0.658,Daily,Basic,price_sensitive,Medium,20,6,1
CUST-000076,60,18,4,0.313,0.873,0.92,0.899,Weekly,Pro,price_sensitive,High,20,12,0
CUST-000077,1019,40,1,0.488,0.28,0.186,0.181,Daily,Basic,price_sensitive,Low,15,6,1
CUST-000078,454,32,1,0.229,0.833,0.649,0.828,Rarely,Pro,price_sensitive,High,20,6,0
CUST-000079,352,88,5,0.39,0.444,0.959,0.614,Daily,Pro,technical_friction,Medium,15,3,1
CUST-000080,621,24,2,0.86,0.644,0.697,0.703,Rarely,Basic,price_sensitive,High,20,6,0
CUST-000081,440,59,3,0.573,0.352,0.628,0.383,Daily,Basic,technical_friction,Medium,0,0,1
CUST-000082,209,36,3,0.151,0.835,0.635,0.825,Weekly,Pro,price_sensitive,High,5,6,1
CUST-000083,1061,51,6,0.66,0.435,0.796,0.539,Daily,Enterprise,price_sensitive,Medium,0,0,1
CUST-000084,1006,25,1,0.519,0.293,0.52,0.29,Daily,Basic,technical_friction,Low,0,0,1
CUST-000085,501,33,4,0.604,0.621,0.673,0.673,Weekly,Basic,technical_friction,Medium,0,0,0
CUST-000086,924,43,2,0.613,0.24,0.142,0.148,Daily,Basic,technical_friction,Low,15,3,0
CUST-000087,32,29,3,0.562,0.693,0.553,0.695,Daily,Basic,technical_friction,Medium,5,6,1
CUST-000088,38,29,6,0.643,0.822,0.805,0.856,Daily,Pro,technical_friction,High,20,12,0
CUST-000089,404,27,2,0.156,0.751,0.447,0.708,Weekly,Enterprise,price_sensitive,High,20,6,0
CUST-000090,179,15,2,0.382,0.926,0.601,0.867,Rarely,Basic,technical_friction,High,15,12,0
CUST-000091,257,27,0,0.352,0.431,0.467,0.398,Weekly,Pro,technical_friction,Medium,20,3,0
CUST-000092,917,43,1,0.797,0.122,0.238,0.111,Weekly,Enterprise,price_sensitive,Low,5,6,1
CUST-000093,1028,16,3,0.767,0.416,0.492,0.393,Daily,Pro,price_sensitive,Medium,10,12,1
CUST-000094,626,17,3,0.699,0.534,0.438,0.492,Weekly,Basic,technical_friction,Medium,15,6,0
CUST-000095,547,24,4,0.346,0.837,0.802,0.863,Weekly,Basic,price_sensitive,High,15,12,0
CUST-000096,913,29,2,0.285,0.545,0.392,0.484,Daily,Basic,technical_friction,Medium,10,6,0
CUST-000097,1080,6,4,0.634,0.628,0.555,0.635,Weekly,Basic,price_sensitive,Medium,0,0,0
CUST-000098,624,49,0,0.259,0.257,0.35,0.209,Weekly,Basic,price_sensitive,Low,10,12,1
CUST-000099,657,43,5,0.229,0.805,0.928,0.872,Weekly,Pro,price_sensitive,High,20,12,0
CUST-000100,43,13,2,0.234,1.0,0.749,0.919,Rarely,Basic,technical_friction,High,20,3,1
CUST-000101,715,32,0,0.592,0.236,0.369,0.199,Weekly,Pro,technical_friction,Low,0,0,1
CUST-000102,1005,19,1,0.146,0.573,0.547,0.577,Weekly,Pro,price_sensitive,Medium,15,12,0
CUST-000103,999,23,1,0.555,0.238,0.213,0.162,Weekly,Enterprise,technical_friction,Low,0,0,1
CUST-000104,824,21,0,0.307,0.729,0.566,0.73,Rarely,Basic,price_sensitive,High,0,0,0
CUST-000105,1092,43,2,0.726,0.104,0.397,0.131,Weekly,Basic,technical_friction,Low,10,12,1
CUST-000106,631,60,2,0.947,0.127,0.261,0.116,Daily,Pro,technical_friction,Low,20,3,1
CUST-000107,772,36,2,0.18,0.607,0.402,0.553,Weekly,Basic,technical_friction,Medium,20,6,1
CUST-000108,607,21,1,0.109,0.945,0.657,0.886,Rarely,Enterprise,price_sensitive,High,15,6,1
CUST-000109,834,56,3,0.343,0.397,0.404,0.34,Daily,Basic,technical_friction,Medium,15,3,1
CUST-000110,426,40,2,0.844,0.203,0.341,0.172,Weekly,Pro,technical_friction,Low,0,0,0
CUST-000111,920,35,2,0.651,0.317,0.307,0.24,Daily,Basic,price_sensitive,Low,10,6,1
CUST-000112,545,13,4,0.828,0.89,0.66,0.861,Rarely,Basic,technical_friction,High,20,12,0
CUST-000113,118,18,2,0.306,0.776,0.609,0.78,Weekly,Enterprise,technical_friction,High,20,6,1
CUST-000114,707,16,0,0.804,0.123,0.291,0.12,Weekly,Basic,technical_friction,Low,0,0,1
CUST-000115,166,35,2,0.047,0.839,0.492,0.791,Weekly,Basic,price_sensitive,High,10,3,1
CUST-000116,323,54,2,0.809,0.188,0.656,0.248,Daily,Basic,price_sensitive,Low,15,12,1
CUST-000117,481,36,9,0.475,0.94,0.811,0.908,Rarely,Pro,price_sensitive,High,0,0,0
CUST-000118,34,33,1,0.333,0.828,0.429,0.765,Rarely,Basic,technical_friction,High,20,6,0
CUST-000119,374,54,4,0.804,0.367,0.406,0.314,Daily,Enterprise,technical_friction,Medium,15,6,0
CUST-000120,179,12,4,0.825,0.854,0.598,0.828,Rarely,Basic,price_sensitive,High,15,6,1
CUST-000121,34,47,5,0.436,0.731,0.64,0.755,Daily,Enterprise,technical_friction,High,5,6,0
CUST-000122,595,18,1,0.459,0.544,0.504,0.53,Weekly,Basic,technical_friction,Medium,10,6,1
CUST-000123,463,55,3,0.192,0.666,0.81,0.758,Weekly,Pro,price_sensitive,High,0,0,0
CUST-000124,306,10,4,0.655,0.941,0.72,0.894,Rarely,Pro,price_sensitive,High,20,6,0
CUST-000125,683,67,2,0.333,0.224,0.416,0.204,Weekly,Basic,technical_friction,Low,0,0,1
CUST-000126,540,51,0,0.577,0.103,0.294,0.112,Daily,Pro,price_sensitive,Low,0,0,1
CUST-000127,1037,19,3,0.343,0.859,0.598,0.831,Rarely,Basic,technical_friction,High,20,6,0
CUST-000128,304,20,5,0.298,0.818,0.853,0.863,Weekly,Pro,price_sensitive,High,20,12,0
CUST-000129,818,40,2,0.577,0.272,0.384,0.229,Daily,Basic,technical_friction,Low,15,3,1
CUST-000130,149,38,4,0.849,0.452,0.624,0.484,Daily,Basic,price_sensitive,Medium,20,12,0
CUST-000131,215,20,1,0.71,0.388,0.307,0.297,Weekly,Basic,technical_friction,Low,20,12,1
CUST-000132,14,17,3,0.427,0.964,0.609,0.885,Rarely,Pro,technical_friction,High,20,6,1
CUST-000133,784,40,5,0.33,0.758,0.77,0.811,Daily,Basic,technical_friction,High,0,0,1
CUST-000134,434,43,1,0.412,0.415,0.404,0.357,Weekly,Basic,technical_friction,Medium,20,3,1
CUST-000135,191,21,3,0.641,0.712,0.489,0.689,Daily,Pro,price_sensitive,Medium,15,12,0
CUST-000136,505,24,1,0.427,0.504,0.447,0.464,Weekly,Basic,price_sensitive,Medium,10,6,1
CUST-000137,236,14,4,0.228,0.961,0.721,0.902,Weekly,Pro,price_sensitive,High,15,6,1
CUST-000138,264,14,4,0.317,0.951,0.972,0.931,Rarely,Enterprise,technical_friction,High,10,6,0
CUST-000139,96,12,2,0.371,0.917,0.696,0.88,Rarely,Pro,technical_friction,High,20,12,1
CUST-000140,846,12,1,0.391,0.882,0.66,0.857,Rarely,Basic,technical_friction,High,20,12,0
CUST-000141,769,37,2,0.604,0.255,0.615,0.289,Daily,Basic,technical_friction,Low,0,0,1
CUST-000142,142,15,0,0.344,0.616,0.488,0.597,Weekly,Basic,price_sensitive,Medium,0,0,0
CUST-000143,362,36,1,0.649,0.32,0.571,0.332,Weekly,Pro,price_sensitive,Medium,5,3,1
CUST-000144,925,58,4,0.702,0.31,0.301,0.233,Daily,Pro,price_sensitive,Low,0,0,1
CUST-000145,849,18,1,0.73,0.258,0.442,0.236,Weekly,Basic,technical_friction,Low,15,3,1
CUST-000146,803,69,0,0.585,0.161,0.399,0.161,Daily,Pro,technical_friction,Low,0,0,1
CUST-000147,207,15,2,0.512,0.948,0.625,0.881,Rarely,Basic,technical_friction,High,15,6,0
CUST-000148,394,35,2,0.217,0.617,0.577,0.633,Weekly,Enterprise,technical_friction,Medium,15,12,1
CUST-000149,535,57,3,0.467,0.381,0.394,0.322,Daily,Enterprise,technical_friction,Medium,10,3,1
CUST-000150,884,60,5,0.754,0.258,0.464,0.243,Daily,Enterprise,price_sensitive,Low,0,0,1
CUST-000151,1023,51,2,0.564,0.21,0.198,0.144,Daily,Pro,price_sensitive,Low,15,3,1
CUST-000152,229,7,1,0.189,0.811,0.577,0.795,Weekly,Enterprise,technical_friction,High,15,6,0
CUST-000153,797,54,0,0.302,0.288,0.395,0.244,Daily,Basic,technical_friction,Low,5,6,1
CUST-000154,49,29,2,0.552,0.573,0.629,0.61,Weekly,Basic,price_sensitive,Medium,5,3,1
CUST-000155,882,20,1,0.27,0.482,0.417,0.429,Weekly,Pro,technical_friction,Medium,0,0,1
CUST-000156,559,43,1,0.864,0.177,0.291,0.146,Daily,Enterprise,technical_friction,Low,15,12,0
CUST-000157,415,45,2,0.407,0.554,0.545,0.558,Weekly,Pro,technical_friction,Medium,0,0,0
CUST-000158,932,20,5,0.789,0.602,0.635,0.641,Weekly,Basic,technical_friction,Medium,0,0,0
CUST-000159,529,18,1,0.128,0.943,0.664,0.886,Rarely,Basic,price_sensitive,High,20,12,0
CUST-000160,638,22,1,0.483,0.763,0.791,0.82,Rarely,Enterprise,price_sensitive,High,0,0,1
CUST-000161,533,10,2,0.339,0.913,0.845,0.903,Rarely,Enterprise,technical_friction,High,0,0,0
CUST-000162,748,51,0,0.543,0.115,0.071,0.084,Daily,Enterprise,price_sensitive,Low,0,0,1
CUST-000163,1036,87,4,0.315,0.288,0.595,0.311,Daily,Basic,technical_friction,Medium,20,12,1
CUST-000164,1070,51,2,0.878,0.162,0.143,0.111,Weekly,Basic,technical_friction,Low,0,0,0
CUST-000165,366,11,3,0.568,0.596,0.435,0.556,Weekly,Pro,technical_friction,Medium,0,0,1
CUST-000166,172,16,1,0.532,0.875,0.467,0.808,Rarely,Pro,price_sensitive,High,15,6,0
CUST-000167,197,25,0,0.32,0.9,0.605,0.855,Rarely,Basic,price_sensitive,High,20,6,0
CUST-000168,543,14,3,0.756,0.566,0.65,0.612,Weekly,Basic,technical_friction,Medium,20,6,1
CUST-000169,275,26,2,0.293,0.688,0.547,0.688,Weekly,Basic,price_sensitive,Medium,10,6,1
CUST-000170,993,51,1,0.763,0.081,0.242,0.096,Daily,Basic,price_sensitive,Low,10,3,1
CUST-000171,64,17,3,0.457,0.74,0.755,0.795,Weekly,Pro,technical_friction,High,15,12,1
CUST-000172,814,38,1,0.188,0.487,0.228,0.359,Daily,Pro,technical_friction,Medium,5,12,1
CUST-000173,256,42,2,0.793,0.274,0.327,0.214,Weekly,Pro,price_sensitive,Low,0,0,1
CUST-000174,264,29,5,0.578,0.7,0.549,0.7,Weekly,Basic,technical_friction,Medium,20,12,0
CUST-000175,204,23,4,0.431,0.798,0.521,0.77,Weekly,Enterprise,technical_friction,High,20,6,0
CUST-000176,30,27,2,0.661,0.608,0.585,0.628,Daily,Basic,technical_friction,Medium,20,3,1
CUST-000177,124,37,1,0.354,0.527,0.54,0.527,Weekly,Basic,technical_friction,Medium,15,12,0
CUST-000178,1099,37,1,0.802,0.098,0.183,0.093,Daily,Pro,price_sensitive,Low,0,0,1
CUST-000179,4,43,1,0.06,0.736,0.451,0.697,Daily,Basic,technical_friction,Medium,15,6,1
CUST-000180,816,63,2,0.502,0.103,0.364,0.124,Weekly,Pro,price_sensitive,Low,10,3,0
CUST-000181,83,60,2,0.742,0.343,0.323,0.265,Daily,Basic,technical_friction,Low,0,0,1
CUST-000182,1050,44,2,0.717,0.175,0.443,0.179,Daily,Enterprise,price_sensitive,Low,5,6,1
CUST-000183,133,50,1,0.375,0.374,0.462,0.341,Daily,Pro,price_sensitive,Medium,15,12,1
CUST-000184,842,10,5,0.584,0.974,0.638,0.894,Rarely,Basic,technical_friction,High,15,6,1
CUST-000185,713,73,4,0.472,0.329,0.384,0.274,Daily,Pro,technical_friction,Low,15,3,1
CUST-000186,1008,17,0,0.364,0.315,0.307,0.238,Weekly,Pro,price_sensitive,Low,15,6,0
CUST-000187,193,11,1,0.497,0.532,0.736,0.613,Weekly,Enterprise,price_sensitive,Medium,0,0,0
CUST-000188,98,6,2,0.377,0.719,0.54,0.713,Daily,Enterprise,price_sensitive,High,15,3,1
CUST-000189,141,17,3,0.336,0.792,0.487,0.755,Weekly,Basic,technical_friction,High,15,6,1
CUST-000190,497,27,3,0.334,1.0,0.77,0.922,Rarely,Pro,technical_friction,High,0,0,1
CUST-000191,297,24,1,0.262,0.851,0.489,0.798,Rarely,Pro,price_sensitive,High,10,12,1
CUST-000192,380,26,1,0.445,0.528,0.245,0.406,Daily,Basic,technical_friction,Medium,5,3,1
CUST-000193,420,19,6,0.169,0.989,1.0,0.943,Rarely,Pro,price_sensitive,High,15,3,1
CUST-000194,783,13,7,0.804,1.0,1.0,0.945,Rarely,Pro,technical_friction,High,15,12,0
CUST-000195,763,32,3,0.471,0.496,0.552,0.5,Weekly,Basic,technical_friction,Medium,20,12,1
CUST-000196,600,29,3,0.521,0.465,0.563,0.473,Weekly,Basic,price_sensitive,Medium,15,3,1
CUST-000197,296,30,7,0.334,0.903,1.0,0.92,Weekly,Basic,price_sensitive,High,10,12,0
CUST-000198,924,35,3,0.316,0.893,0.725,0.875,Rarely,Pro,technical_friction,High,5,12,1
CUST-000199,332,85,4,0.137,0.496,0.705,0.564,Daily,Basic,price_sensitive,Medium,10,12,1
CUST-000200,692,31,2,0.457,0.415,0.489,0.391,Weekly,Enterprise,technical_friction,Medium,15,6,0
CUST-000201,248,41,5,0.441,0.955,0.911,0.925,Rarely,Enterprise,price_sensitive,High,15,12,0
CUST-000202,567,9,2,0.168,0.823,0.703,0.834,Weekly,Enterprise,price_sensitive,High,20,12,0
CUST-000203,553,35,2,0.326,0.553,0.501,0.538,Daily,Pro,price_sensitive,Medium,0,0,1
CUST-000204,670,15,1,0.694,0.318,0.282,0.232,Weekly,Basic,technical_friction,Low,0,0,0
CUST-000205,546,9,3,0.345,1.0,0.634,0.904,Rarely,Basic,technical_friction,High,5,12,1
CUST-000206,647,31,1,0.524,0.72,0.309,0.629,Rarely,Pro,technical_friction,Medium,5,12,0
CUST-000207,805,32,3,0.551,0.472,0.43,0.424,Weekly,Pro,price_sensitive,Medium,0,0,0
CUST-000208,788,83,0,0.354,0.045,0.241,0.083,Daily,Basic,technical_friction,Low,15,12,1
CUST-000209,155,45,2,0.38,0.609,0.541,0.611,Weekly,Enterprise,technical_friction,Medium,20,6,1
CUST-000210,95,41,5,0.319,0.912,0.719,0.882,Daily,Pro,technical_friction,High,10,3,1
CUST-000211,992,62,2,0.635,0.13,0.439,0.152,Daily,Basic,technical_friction,Low,15,12,1
CUST-000212,107,14,3,0.536,0.809,0.767,0.841,Weekly,Basic,price_sensitive,High,15,3,1
CUST-000213,1077,64,3,0.547,0.251,0.586,0.276,Daily,Enterprise,technical_friction,Low,15,6,1
CUST-000214,372,16,1,0.918,0.294,0.308,0.223,Daily,Enterprise,price_sensitive,Low,0,0,0
CUST-000215,806,46,3,0.261,0.595,0.521,0.59,Weekly,Basic,price_sensitive,Medium,5,3,1
CUST-000216,717,11,1,0.921,0.7,0.636,0.73,Rarely,Enterprise,technical_friction,High,0,0,0
CUST-000217,240,44,1,0.495,0.367,0.287,0.273,Daily,Pro,price_sensitive,Low,0,0,1
CUST-000218,509,6,4,0.751,0.771,0.645,0.786,Weekly,Pro,price_sensitive,High,15,12,0
CUST-000219,972,30,1,0.841,0.101,0.307,0.113,Weekly,Enterprise,price_sensitive,Low,0,0,1
CUST-000220,1063,25,2,0.385,0.521,0.57,0.534,Weekly,Pro,technical_friction,Medium,20,3,0
CUST-000221,442,111,0,0.548,0.116,0.23,0.107,Daily,Basic,price_sensitive,Low,20,12,1
CUST-000222,656,39,5,0.791,0.57,0.527,0.566,Daily,Pro,price_sensitive,Medium,5,6,1
CUST-000223,1019,93,4,0.553,0.191,0.463,0.194,Daily,Basic,technical_friction,Low,0,0,1
CUST-000224,482,87,5,0.439,0.374,0.637,0.41,Daily,Enterprise,technical_friction,Medium,0,0,1
CUST-000225,929,18,3,0.641,0.519,0.626,0.555,Weekly,Basic,price_sensitive,Medium,20,6,1
CUST-000226,1022,46,4,0.126,0.716,0.438,0.674,Weekly,Enterprise,price_sensitive,Medium,15,3,1
CUST-000227,631,23,2,0.845,0.238,0.35,0.196,Weekly,Basic,technical_friction,Low,15,3,1
CUST-000228,875,31,4,0.542,0.559,0.518,0.551,Weekly,Enterprise,technical_friction,Medium,15,6,1
CUST-000229,766,34,3,0.444,0.569,0.656,0.618,Weekly,Basic,price_sensitive,Medium,0,0,1
CUST-000230,400,43,2,0.196,0.575,0.398,0.518,Weekly,Basic,price_sensitive,Medium,5,6,0
CUST-000231,909,55,2,0.275,0.369,0.579,0.382,Daily,Enterprise,technical_friction,Medium,20,12,1
CUST-000232,1016,12,4,0.934,0.403,0.577,0.415,Weekly,Enterprise,technical_friction,Medium,10,12,1
CUST-000233,1008,15,2,0.783,0.736,0.498,0.713,Rarely,Basic,technical_friction,High,15,12,1
CUST-000234,150,35,4,0.747,0.59,0.535,0.59,Weekly,Pro,technical_friction,Medium,15,6,1
CUST-000235,850,15,1,0.607,0.346,0.51,0.332,Weekly,Pro,price_sensitive,Medium,10,12,1
CUST-000236,45,29,4,0.356,0.824,0.671,0.828,Daily,Enterprise,price_sensitive,High,10,6,0
CUST-000237,156,63,2,0.6,0.198,0.487,0.206,Daily,Enterprise,price_sensitive,Low,15,6,1
CUST-000238,515,60,2,0.375,0.317,0.376,0.262,Daily,Pro,price_sensitive,Low,0,0,1
CUST-000239,243,32,4,0.612,0.701,0.617,0.724,Daily,Basic,technical_friction,High,20,12,1
CUST-000240,877,18,0,0.627,0.192,0.092,0.116,Weekly,Enterprise,price_sensitive,Low,10,12,0
CUST-000241,633,37,2,0.498,0.466,0.585,0.483,Daily,Basic,price_sensitive,Medium,15,6,1
CUST-000242,621,24,3,0.32,0.727,0.65,0.755,Weekly,Pro,technical_friction,High,20,6,1
CUST-000243,717,56,1,0.731,0.19,0.206,0.136,Daily,Basic,price_sensitive,Low,0,0,0
CUST-000244,148,49,5,0.603,0.695,0.734,0.756,Weekly,Pro,technical_friction,High,10,6,1
CUST-000245,267,54,6,0.523,0.653,0.506,0.641,Daily,Basic,price_sensitive,Medium,10,12,0
CUST-000246,194,8,0,0.607,0.785,0.487,0.75,Rarely,Basic,technical_friction,High,20,12,0
CUST-000247,819,36,3,0.618,0.392,0.698,0.453,Weekly,Pro,technical_friction,Medium,10,3,1
CUST-000248,401,72,1,0.459,0.222,0.259,0.163,Daily,Basic,technical_friction,Low,20,3,1
CUST-000249,880,33,2,0.63,0.214,0.339,0.178,Daily,Pro,technical_friction,Low,0,0,1
CUST-000250,918,36,4,0.716,0.362,0.783,0.457,Weekly,Basic,price_sensitive,Medium,20,12,0
CUST-000251,524,32,0,0.282,0.379,0.226,0.263,Daily,Basic,technical_friction,Low,10,12,1
CUST-000252,905,35,4,0.438,0.476,0.68,0.533,Weekly,Pro,technical_friction,Medium,0,0,1
CUST-000253,154,23,1,0.282,0.692,0.806,0.776,Weekly,Enterprise,technical_friction,High,20,12,0
CUST-000254,879,21,2,0.529,0.463,0.489,0.44,Daily,Basic,price_sensitive,Medium,20,6,1
CUST-000255,1060,16,2,0.324,0.863,0.598,0.833,Rarely,Basic,price_sensitive,High,20,12,0
CUST-000256,317,93,2,0.197,0.341,0.553,0.344,Daily,Enterprise,technical_friction,Medium,0,0,1
